Job Title,Location,Company Name,Job Skills
Software Engineer - Python,Agency -,"Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · AI Agents · AI Evaluator · LLM Evaluation · Data Annotation · Data Annotator · Software Development
Senior Python Developer,Advanced control -,"6th of October, Giza, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Vue.js · MongoDB · Microservices · Laravel · Node.js
Senior Python Developer,AZM Squad -,"Cairo, Egypt ",Experienced · 4 - 10 Yrs of Exp · IT/Software Development · Python · Django · Flask · RESTful APIs · SQL/NoSQL Databases · CI/CD Pipelines · Python Back-end Developer · FastAPI · Keycloak
Mid Level Rest API Django Python Developer,Software House Solution  -,"Heliopolis, Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Django · Python · RESTful API Development · PostgreSQL · MySQL · API Security · Unit Testing · Git · Docker
Senior Python Developer,Hesaab  -,"Riyadh, Saudi Arabia ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Python · Node.js · React · Angular · SQL · NoSQL · Git
Software Engineer Manager - Python,Agency -,"Cairo, Egypt ",Manager · 6+ Yrs of Exp · IT/Software Development · Python · CI/CD · Docker · Software Architecture · Team Leadership · Cloud Computing · Agile Methodologies · Code Review · Problem Solving
Python Developer,Digizilla -,"Nasr City, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Flask · RESTful APIs · SQL · Git · Object-Oriented Programming (OOP) · Problem Solving
AI Engineer,Confidential -,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Python · Agentic · Ai · Agentic frameworks · Machine learning · Deep learning
التكامل-Integration Developer,Hesaab  -,"Riyadh, Saudi Arabia ",Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · System Integration · Postman · POS · Python · Node.js · SQL Server · Gitlab
Senior Odoo Developer – Full Stack,TopLine  -,"Cairo, Egypt ",Experienced · 3+ Yrs of Exp · males_only · IT/Software Development · Odoo · Python · Odoo CRM · PostgreSQL · RESTful API Integration · Version Control (Git) · Odoo Development · Python Programming · Full Stack Web Development
Odoo Techno-Functional Consultant & Team Lead,softprimes -,"Cairo, Egypt ",Manager · 7 - 12 Yrs of Exp · IT/Software Development · Project/Program Management · Software Development · Odoo ERP · Payroll · Project Management · CRM · Inventory · Manufacturing · Computer Science
AI Engineer – LLM & Fine-Tuning Specialist,Advanced control -,"6th of October, Giza, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Python · PyTorch · TensorFlow · LLMs · LoRA · PEFT · LLM Fine-Tuning · Prompt Engineering · Retrieval-Augmented Generation
Software Developer,Confidential -,"Giza, Egypt ",Experienced · 5 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · Back-End Development · Front-end development · Back-end development · Javascript · Python · React · Node.js
Social Media Growth Infrastructure Engineer,Al Farouk For Educational Service  -,"Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · males_preferred · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · AdsPower · Multilogin · GoLogin · Python · Selenium · Playwright · Puppeteer
IT Intern,Olam SVI -,"6th of October, Giza, Egypt ",Entry Level · IT/Software Development · Information Technology (IT) · SQL · Python · Java · Problem Solving
Lead Backend Architect,99 Developers -,"Cairo, Egypt ",Manager · 8 - 15 Yrs of Exp · Accounting/Finance · Engineering - Construction/Civil/Architecture · IT/Software Development · JavaScript · python · fintech · Node.js · API gateway · Fintech · shadow ledger
Backend Developer,Confidential -,"Khobar, Saudi Arabia ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · RESTful APIs · python development · Software Development · SW Development · Program Development · Web Development
Senior Software Engineer,QNB Life Insurance -,"Mohandessin, Giza, Egypt ","Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Programming Language · Programming (Java, C#, Python, JavaScript) · Software Development · Team Leadership · Version Control (Git) · Technical Documentation · System Architecture"
Software Developer,Bimmovate -,"New Cairo, Cairo, Egypt ",Entry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · Software Development · Application Programming Interface · Dynamo · Python · pyRevit · SQL · Azure
Full Stack Developer,InfoPeak Software   -,"Maadi, Cairo, Egypt ",Experienced · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.Net · .Net · CSS · HTML · Python · SQL · Software Engineering · Computer Science
Machine Learning Engineer,StoryGold -,"San Francisco, United States ",Experienced · 1+ Yrs of Exp · IT/Software Development · Python · Machine Learning
AI & Data,Global Brands -,"Cairo, Egypt ",Entry Level · IT/Software Development · LLM · Python · Machine Learning
Data Engineer,Confidential -,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Engineering · ETL Development · Python · Data Warehousing · Database Management · Data Integration · Data Modeling
Backend Engineer (Mid-Level),Seha Care -,"Sheraton, Cairo, Egypt ","Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Strong Python (FastAPI) OR Node.js (Express/NestJS) · Solid understanding of REST architecture · Experience with PostgreSQL or similar relational databases · Experience integrating third-party APIs · Knowledge of Docker and containerized deployments · Understanding of authentication mechanisms (JWT, OAuth2) · Git workflow proficiency · Familiarity with AI/ML API integration · Experience with Azure"
